"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","13191","testTIDInActionCardSummarypage","Default suite","Mon Jul 14 13:57:54 IST 2025","passed","Mon Jul 14 13:58:07 IST 2025","com.report.test.transaction","Default test","com.report.test.transaction","testTIDInActionCardSummarypage"
"","1652","validateEmailFieldErrors","Default suite","Wed Jul 16 15:01:25 IST 2025","passed","Wed Jul 16 15:01:27 IST 2025","com.paysecure.admin.manageRoles","Default test","com.paysecure.admin.manageRoles","validateEmailFieldErrors"
"","31550","selectMIDBasedOnBank","Default suite","Thu Jul 10 12:07:39 IST 2025","passed","Thu Jul 10 12:08:11 IST 2025","com.report.test.transaction","Default test","com.report.test.transaction","selectMIDBasedOnBank"
"","2361","verify_transaction_Id","Default suite","Mon Jul 14 16:03:14 IST 2025","passed","Mon Jul 14 16:03:17 IST 2025","com.report.test.bankTransactionTime","Default test","com.report.test.bankTransactionTime","verify_transaction_Id"
"","2009","validatePassswordErrorMessages","Default suite","Wed Jul 16 14:21:50 IST 2025","passed","Wed Jul 16 14:21:52 IST 2025","com.paysecure.admin.manageRoles","Default test","com.paysecure.admin.manageRoles","validatePassswordErrorMessages"
"","4025","testClickFirstValid_TransactionOnCardOage","Default suite","Mon Jul 14 11:32:49 IST 2025","passed","Mon Jul 14 11:32:53 IST 2025","com.report.test.transaction","Default test","com.report.test.transaction","testClickFirstValid_TransactionOnCardOage"
"","3405","verifyCustomers_Merchant_Frequency","Default suite","Thu Jul 10 12:14:38 IST 2025","passed","Thu Jul 10 12:14:42 IST 2025","com.report.test.transaction","Default test","com.report.test.transaction","verifyCustomers_Merchant_Frequency"
"","23095","validtePaginationInEmailSummaryPage","Default suite","Mon Jul 14 14:40:29 IST 2025","broken","Mon Jul 14 14:40:52 IST 2025","com.report.test.transaction","Default test","com.report.test.transaction","validtePaginationInEmailSummaryPage"
"","18979","testClickFirstEmailOccurrenceOf_Card","Default suite","Tue Jul 15 11:00:40 IST 2025","passed","Tue Jul 15 11:00:59 IST 2025","com.report.test.transaction","Default test","com.report.test.transaction","testClickFirstEmailOccurrenceOf_Card"
"","88","verifyTableHeaders","Default suite","Mon Jul 14 16:16:40 IST 2025","passed","Mon Jul 14 16:16:40 IST 2025","com.report.test.bankTransactionTime","Default test","com.report.test.bankTransactionTime","verifyTableHeaders"
"","60438","endToEndFlowOfTransaction","Default suite","Thu Jul 10 12:11:04 IST 2025","passed","Thu Jul 10 12:12:04 IST 2025","com.report.test.transaction","Default test","com.report.test.transaction","endToEndFlowOfTransaction"
"","4","testTIDInActionCardSummarypage","Default suite","Fri Jul 11 16:50:27 IST 2025","broken","Fri Jul 11 16:50:27 IST 2025","com.report.test.transaction","Default test","com.report.test.transaction","testTIDInActionCardSummarypage"
"","2046","validatePassswordErrorMessages","Default suite","Wed Jul 16 12:21:50 IST 2025","passed","Wed Jul 16 12:21:52 IST 2025","com.paysecure.admin.manageRoles","Default test","com.paysecure.admin.manageRoles","validatePassswordErrorMessages"
"","3470","verifyCustomerCard_Frequency","Default suite","Thu Jul 10 12:14:54 IST 2025","passed","Thu Jul 10 12:14:57 IST 2025","com.report.test.transaction","Default test","com.report.test.transaction","verifyCustomerCard_Frequency"
"","9440","verify_purchaseIDJson","Default suite","Tue Jul 15 10:44:29 IST 2025","failed","Tue Jul 15 10:44:39 IST 2025","com.report.test.transactionLog","Default test","com.report.test.transactionLog","verify_purchaseIDJson"
"","30328","testClickFirstEmailOccurrenceOf_Card","Default suite","Mon Jul 14 12:44:30 IST 2025","passed","Mon Jul 14 12:45:01 IST 2025","com.report.test.transaction","Default test","com.report.test.transaction","testClickFirstEmailOccurrenceOf_Card"
"","28533","transactionUsingSelectMerchant","Default suite","Thu Jul 10 14:51:52 IST 2025","passed","Thu Jul 10 14:52:21 IST 2025","com.report.test.transaction","Default test","com.report.test.transaction","transactionUsingSelectMerchant"
"","1683","validateUsernameErrorMessages","Default suite","Wed Jul 16 14:22:35 IST 2025","passed","Wed Jul 16 14:22:37 IST 2025","com.paysecure.admin.manageRoles","Default test","com.paysecure.admin.manageRoles","validateUsernameErrorMessages"
"","1595","validatePassswordErrorMessages","Default suite","Wed Jul 16 12:22:21 IST 2025","passed","Wed Jul 16 12:22:23 IST 2025","com.paysecure.admin.manageRoles","Default test","com.paysecure.admin.manageRoles","validatePassswordErrorMessages"
"","13093","f","Default suite","Tue Jul 15 14:49:57 IST 2025","passed","Tue Jul 15 14:50:10 IST 2025","com.report.test.errorLog","Default test","com.report.test.errorLog","f"
"","7","verifyTableHeaders","Default suite","Mon Jul 14 17:44:11 IST 2025","broken","Mon Jul 14 17:44:11 IST 2025","com.report.test.transactionLog","Default test","com.report.test.transactionLog","verifyTableHeaders"
"","2858","verifyBankTransactionTimeReport","Default suite","Mon Jul 14 16:02:44 IST 2025","passed","Mon Jul 14 16:02:47 IST 2025","com.report.test.bankTransactionTime","Default test","com.report.test.bankTransactionTime","verifyBankTransactionTimeReport"
"","2011","transactionUsingSelectStatus","Default suite","Thu Jul 10 14:51:37 IST 2025","passed","Thu Jul 10 14:51:39 IST 2025","com.report.test.transaction","Default test","com.report.test.transaction","transactionUsingSelectStatus"
"","12262","selectCurrency","Default suite","Thu Jul 10 12:09:50 IST 2025","passed","Thu Jul 10 12:10:02 IST 2025","com.report.test.transaction","Default test","com.report.test.transaction","selectCurrency"
"","1358","select_Role","Default suite","Wed Jul 16 15:29:03 IST 2025","passed","Wed Jul 16 15:29:04 IST 2025","com.paysecure.admin.manageRoles","Default test","com.paysecure.admin.manageRoles","select_Role"
